Crew,Season,Year,started,ended
1A,1,2002,02-07-2002,02-13-2002
1B,1,2002,02-14-2002,02-20-2002
2,1,2002,02-21-2002,03-07-2002
3,1,2002,03-11-2002,03-24-2002
4,1,2002,03-25-2002,04-06-2002
5,1,2002,04-07-2002,04-20-2002
6,1,2002,04-24-2002,05-07-2002
7,2,2002,11-10-2002,11-23-2002
8,2,2002,11-24-2002,12-07-2002
9,2,2002,12-08-2002,12-21-2002
10,2,2002,12-22-2002,01-04-2002
11,2,2003,01-05-2003,01-18-2003
12,2,2003,01-19-2003,02-01-2003
13,2,2003,02-02-2003,02-14-2003
14,2,2003,02-15-2003,03-15-2003
15,2,2003,03-16-2003,03-29-2003
16,2,2003,03-30-2003,04-12-2003
18,2,2003,04-26-2003,05-10-2003
19,2,2003,05-14-2003,05-23-2003
20,3,2003,12-20-2003,01-02-2004
21,3,2004,01-04-2004,01-17-2004
22,3,2004,01-18-2004,01-31-2004
23,3,2004,02-01-2004,02-14-2004
24,3,2004,02-15-2004,02-28-2004
25,3,2004,02-29-2004,03-13-2004
26,3,2004,03-14-2004,03-27-2004
27,3,2004,03-28-2004,04-10-2004
28,3,2004,04-11-2004,04-24-2004
29,3,2004,04-25-2004,05-08-2004
30,4,2004,11-26-2004,12-12-2004
31,4,2004,12-18-2004,01-02-2005
32,4,2005,01-09-2005,01-22-2005
33,4,2005,01-23-2005,02-05-2005
34,4,2005,02-06-2005,02-19-2005
35,4,2005,02-20-2005,03-05-2005
36,4,2005,03-06-2005,03-19-2005
37,4,2005,03-20-2005,04-02-2005
38,4,2005,04-03-2005,04-16-2005
39,4,2005,04-17-2005,04-30-2005
40,4,2005,05-01-2005,05-14-2005
41,5,2006,01-01-2006,01-14-2006
42,5,2006,01-15-2006,01-28-2006
43,5,2006,01-29-2006,02-11-2006
44,5,2006,02-12-2006,02-25-2006
45,5,2006,02-26-2006,03-11-2006
46,5,2006,03-12-2006,03-18-2006
47,5,2006,03-19-2006,04-01-2006
48,5,2006,04-02-2006,04-22-2006
49,5,2006,04-23-2006,05-06-2006
50,5,2006,05-07-2006,05-11-2006
51,6,2006,11-05-2006,11-25-2006
52,6,2006,11-26-2006,12-09-2006
53,6,2006,12-10-2006,12-21-2006
54,6,2006,12-22-2006,01-06-2007
55,6,2007,01-07-2007,01-20-2007
56,6,2007,01-21-2007,02-03-2007
57,6,2007,02-04-2007,02-17-2007
58,6,2007,02-18-2007,03-03-2007
59,6,2007,03-04-2007,03-17-2007
60,6,2007,03-18-2007,03-31-2007
61,6,2007,04-01-2007,04-14-2007
62,7,2007,12-08-2007,12-22-2007
63,7,2007,12-23-2007,01-05-2008
64,7,2008,01-06-2008,01-19-2008
65,7,2008,01-20-2008,02-02-2008
66,7,2008,02-03-2008,02-16-2008
67,7,2008,02-17-2008,03-01-2008
68,7,2008,03-02-2008,03-15-2008
69,7,2008,03-16-2008,03-29-2008
70,7,2008,03-30-2008,04-12-2008
71,7,2008,04-13-2008,04-26-2008
73,8,2008,12-27-2008,01-02-2009
74,8,2009,01-03-2009,01-09-2009
75,8,2009,01-10-2009,01-23-2009
76,8,2009,01-24-2009,02-13-2009
77,8,2009,02-14-2009,02-27-2009
78,8,2009,02-28-2009,03-13-2009
79,8,2009,03-14-2009,03-27-2009
80,8,2009,03-28-2009,04-10-2009
81,8,2009,04-11-2009,04-26-2009
83,9,2009,11-14-2009,11-27-2009
84,9,2009,11-28-2009,12-11-2009
85,9,2009,12-12-2009,12-25-2009
86,9,2009,12-26-2009,01-01-2010
87,9,2010,01-02-2010,01-08-2010
88,9,2010,01-09-2010,01-22-2010
89,9,2010,01-23-2010,02-05-2010
90,9,2010,02-06-2010,02-19-2010
91,9,2010,02-20-2010,03-05-2010
92,9,2010,03-06-2010,03-19-2010
93,9,2010,03-20-2010,04-02-2010
94,9,2010,04-03-2010,04-16-2010
96,10,2010,12-28-2010,12-31-2010
97,10,2011,01-01-2011,01-14-2011
98,10,2011,01-15-2011,01-28-2011
99,10,2011,01-29-2011,02-12-2011
100A,10,2011,02-13-2011,02-26-2011
100B,10,2011,02-27-2011,03-12-2011
101,10,2011,03-13-2011,03-26-2011
102,10,2011,03-27-2011,04-09-2011
103,10,2011,04-10-2011,04-23-2011
104,10,2011,04-24-2011,05-07-2011
108,11,2011,12-03-2011,12-17-2011
109,11,2011,12-17-2011,12-30-2011
110A,11,2011,12-31-2011,01-06-2012
110B,11,2012,01-07-2012,01-14-2012
111,11,2012,01-21-2012,01-27-2012
112,11,2012,01-28-2012,02-10-2012
113,11,2012,02-11-2012,02-24-2012
114,11,2012,02-25-2012,03-09-2012
115,11,2012,03-10-2012,03-23-2012
116,11,2012,03-24-2012,04-06-2012
117,11,2012,04-07-2012,04-20-2012
118,11,2012,04-21-2012,04-05-2012
119,12,2012,12-01-2012,12-15-2012
120,12,2012,12-16-2012,12-28-2012
121,12,2012,12-29-2012,01-11-2013
122,12,2013,01-12-2013,01-26-2013
123,12,2013,01-27-2013,02-09-2013
124,12,2013,02-10-2013,02-22-2013
125,12,2013,02-23-2013,03-09-2013
126,12,2013,3-10-2013,03-23-2013
127,12,2013,03-24-2013,04-06-2013
128A,12,2013,04-07-2013,04-12-2013
128B,12,2013,04-13-2013,04-20-2013
129,12,2013,04-21-2013,05-03-2013
130,12,2013,05-04-2013,05-18-2013
131,13,2013,12-07-2013,12-20-2013
132,13,2013,12-21-2013,01-03-2014
133,13,2014,01-04-2014,01-17-2014
134,13,2014,01-18-2014,01-31-2014
135,13,2014,02-01-2014,02-14-2014
136,13,2014,02-15-2014,03-01-2014
137,13,2014,03-01-2014,03-14-2014
138,13,2014,03-15-2014,03-28-2014
139A,13,2014,03-29-2014,04-04-2014
139B,13,2014,04-05-2014,04-11-2014
140,13,2014,04-12-2014,04-26-2014
141,13,2014,04-27-2014,05-10-2014
142,14,2014,11-01-2014,11-14-2014
143,14,2014,11-15-2014,11-29-2014
144,14,2014,11-29-2014,12-14-2014
145,14,2014,12-13-2014,12-28-2014
146,14,2014,12-27-2014,01-11-2015
147,14,2015,01-10-2015,01-25-2015
148,14,2015,01-24-2015,02-08-2015
149,14,2015,02-07-2015,02-22-2015
150,14,2015,02-21-2015,03-15-2015
151,14,2015,03-15-2015,03-29-2015
152A,14,2015,03-28-2015,04-04-2015
152B,14,2015,04-06-2015,04-12-2015
153,14,2015,04-11-2015,04-26-2015
154,14,2015,04-25-2015,05-16-2015
155,15,2015,10-24-2015,11-08-2015
156,15,2015,11-07-2015,11-15-2015
158,15,2015,11-14-2015,11-29-2015
159,15,2015,11-28-2015,12-13-2015
160,15,2015,12-12-2015,01-10-2016
161,15,2016,01-09-2016,01-24-2016
162,15,2016,01-23-2016,02-07-2016
164,15,2016,02-20-2016,03-06-2016
165,15,2016,03-05-2016,03-20-2016
166,15,2016,03-19-2016,04-03-2016
167A,15,2016,04-02-2016,04-08-2016
167B,15,2016,04-09-2016,04-17-2016
168,15,2016,04-23-2016,05-01-2016
169,15,2016,04-30-2016,05-15-2016
171,16,2016,12-17-2016,01-01-2017
172,16,2016,12-31-2016,01-15-2017
173,16,2017,01-14-2017,01-29-2017
174,16,2017,01-28-2017,02-12-2017
175,16,2017,02-11-2017,03-05-2017
176,16,2017,03-11-2017,03-26-2017
177,16,2017,03-25-2017,03-31-2017
178,16,2017,04-08-2017,04-23-2017
179,16,2017,04-22-2017,04-30-2017
180,16,2017,04-29-2017,05-14-2017
181,16,2017,05-13-2017,05-28-2017
182,17,2017,11-04-2017,11-19-2017
183,17,2017,11-18-2017,12-03-2017
184,17,2017,12-02-2017,12-17-2017
185,17,2017,12-16-2017,12-31-2017
186,17,2017,12-30-2017,01-14-2018
187,17,2018,01-13-2018,01-28-2018
188,17,2018,01-27-2018,02-11-2018
189,17,2018,02-17-2018,03-11-2018
190,17,2018,03-10-2018,03-25-2018
191,17,2018,03-24-2018,04-08-2018
192,17,2018,04-07-2018,04-22-2018
193,17,2018,04-21-2018,05-05-2018
194,17,2018,05-04-2018,05-13-2018
195,17,2018,05-14-2018,05-26-2018
197,18,2018,10-22-2018,10-26-2018
198,18,2018,11-10-2018,11-18-2018
199,18,2018,11-17-2018,12-02-2018
200,18,2018,12-01-2018,12-16-2018
201,18,2018,12-15-2018,12-30-2018
202,18,2018,12-29-2018,01-13-2019
203,18,2019,01-12-2019,01-27-2019
204,18,2019,01-26-2019,02-10-2019
205,18,2019,02-09-2019,02-24-2019
206,18,2019,02-23-2019,03-17-2019
207,18,2019,03-16-2019,03-27-2019
208,18,2019,03-28-2019,04-07-2019
209,18,2019,04-06-2019,04-14-2019
210,18,2019,04-13-2019,04-21-2019
211,18,2019,04-20-2019,05-05-2019
212,18,2019,05-04-2019,05-19-2019
213,18,2019,05-18-2019,05-26-2019
214,19,2019,10-26-2019,11-10-2019
215,19,2019,11-09-2019,11-24-2019
216,19,2019,11-23-2019,12-08-2019
217,19,2019,12-07-2019,12-14-2019
218,19,2019,12-21-2019,01-05-2020
219,19,2020,01-04-2020,01-19-2020
220,19,2020,01-18-2020,02-02-2020
221,19,2020,02-01-2020,02-16-2020
222,19,2020,02-15-2020,03-01-2020
223,19,2020,02-29-2020,03-15-2020
